"","id_str"
"357","1224945339276447745"
"358","948070074"
"359","40559173"
"360","78353799"
"361","948070074"
"362","918126008859021312"
"363","948070074"
"364","243822676"
"365","569459064"
"366","948070074"
"367","1211094273753370629"
"368","1482544218258223104"
"369","948070074"
"370","835436632274796544"
"371","948070074"
"372","1207327585354559488"
"373","3313459794"
"374","948070074"
"375","705521539639169025"
"376","41679815"
"377","948070074"
"378","711661593755389952"
"379","1247362960521072642"
"380","319986824"
"381","1510996411755679747"
"382","423858414"
"383","948070074"
"384","948070074"
"385","238723704"
"386","793851274068307968"
"387","948070074"
"388","1888644637"
"389","773868672"
"390","793851274068307968"
"391","63509170"
"392","32267338"
"393","948070074"
"394","152285232"
"395","948070074"
"396","793851274068307968"
"397","948070074"
"398","205961449"
"399","948070074"
"400","825473731958960128"
"401","1586890489067880448"
"402","1002546192100855809"
"403","948070074"
"404","747941613054267392"
"405","758022426970103813"
"406","793851274068307968"
"407","948070074"
"408","1202408981496573952"
"409","948070074"
"410","1428780029362716680"
"411","258945686"
"412","948070074"
"413","1483009740"
"414","516162001"
"415","948070074"
"416","793851274068307968"
"417","1258838896072425479"
"418","1561543978767491072"
"419","948070074"
"420","1428482523009634306"
"421","36854356"
"422","948070074"
"423","1059241873"
"424","793851274068307968"
"425","318742301"
"426","1234588284719968259"
"427","948070074"
"428","22379003"
"429","948070074"
"430","1096584487939526656"
"431","948070074"
"432","948070074"
"433","825473731958960128"
"434","278779757"
"435","193928164"
"436","1173904004423790594"
"437","1234588284719968259"
"438","1172765020301725696"
"439","948070074"
"440","365525787"
"441","50240784"
"442","948070074"
"443","1082084539625820160"
"444","1211094273753370629"
"445","23472972"
"446","948070074"
"447","238723704"
"448","627237198"
"449","1631934570"
"450","948070074"
"451","1308142219568844805"
"452","948070074"
"453","2324459166"
"454","793851274068307968"
"455","948070074"
"456","61398906"
"457","1554662246"
"458","29098302"
"459","793851274068307968"
"460","1555344243014737924"
"461","459823703"
"462","1260018063409246208"
"463","793851274068307968"
"464","96040215"
"465","923213614235955200"
"466","1180259163693359104"
"467","1308142219568844805"
"468","948070074"
"469","1418450170593878018"
"470","2174958433"
"471","948070074"
"472","21632072"
"473","3280883660"
"474","63509170"
"475","948070074"
"476","18907604"
"477","1585407477557911552"
"478","1312789267895250948"
"479","21144601"
"480","948070074"
"481","774673282851143680"
"482","616155108"
"483","16941578"
"484","948070074"
"485","948070074"
"486","1569750010224586753"
"487","2722920240"
"488","948070074"
"489","948070074"
"490","1333198297247453193"
"491","935003930043568129"
"492","948070074"
"493","92045519"
"494","74866680"
"495","1499541534190051328"
"496","67365242"
"497","948070074"
"498","1585407477557911552"
"499","559573150"
"500","948070074"
"501","864953224654200832"
"502","948070074"
"503","1036528390151569409"
"504","781516702794121216"
"505","948070074"
"506","948070074"
"507","948070074"
"508","2852284925"
"509","723369165029953537"
"510","1032797146947497984"
"511","3304624160"
"512","948070074"
"513","25522031"
"514","41679815"
"515","29098302"
"516","4674739627"
"517","948070074"
"518","948070074"
"519","1441572674233266182"
"520","459823703"
"521","948070074"
"522","1561543978767491072"
"523","1289824720045604864"
"524","232648081"
"525","2282623316"
"526","1437769588427603968"
"527","723369165029953537"
"528","1262767902"
"529","539916287"
"530","2324459166"
"531","1028324055362011136"
